Film Title,Character,Dialogue
Aladdin,Jafar,You...are late.
Aladdin,Gazeem,"A thousand apologies, O patient one."
Aladdin,Jafar,"You have it, then?"
Aladdin,Gazeem,"I had to slit a few throats to get it.  (Pulls out half of the medallion.  JAFAR reaches out for it, but GAZEEM yanks it back.)  Ah, ah, ahhh!  The treasure! Ouch!"
Aladdin,Jafar,"Trust me, my pungent friend.  You'll get what's coming to you."
Aladdin,Iago,"What's coming to you!  Awk! (JAFAR pulls out the second half of the medallion.  He connects them, and the insect medallion begins to glow.  Finally, it flies out of JAFAR's hand, scaring the horses, and is off towards the dunes.)"
Aladdin,Jafar,"Quickly, follow the trail! (All ride off, following the glowing speck of light, until it reaches a large dune.  It separates into two and the halves plunge into the dune.  All that remains are two glowing points of light on the dune.  But then the dune begins to rise up, transforming into a giant lion's head, with the glowing points serving as the eyes.)"
Aladdin,Jafar,"At last, after all my years of searching,  the cave of wonders!"
Aladdin,Iago,Awk!  Cave of wonders!
Aladdin,Gazeem,By Allah!
Aladdin,Jafar,"Now, remember!  Bring me the lamp.  The rest of the treasure is yours, but the lamp is mine! (GAZEEM starts to approach the lion's mouth, which forms the entrance to the cave.  He chuckles as he goes.)"
Aladdin,Iago,"Awk, the lamp!  Awk,  the lamp!  (Now that IAGO and JAFAR are alone, IAGO opens up in normal English.) Jeez, where'd ya dig this bozo up? (JAFAR puts his finger to his lips and shushes him.  GAZEEM reaches the cave, but is blown away by the roar of the cave's speaking.)"
Aladdin,Cave,Who disturbs my slumber?
Aladdin,Gazeem,"It is I, Gazeem, a humble thief."
Aladdin,Cave,Know this.  Only one may enter here.  One whose worth lies far within.  A diamond in the rough.
Aladdin,Jafar,"What are you waiting for?  Go on! (GAZEEM hesitates, then moves one foot inside the cave.  With great apprehension, he plants his foot down.  Nothing happens. Relieved, he begins his trek again.  Then another roar comes. He turns back, but the lion's mouth slams shut and the dune collapses back to normal.  All that are left are JAFAR, IAGO, and the two separated halves of the medallion.)"
Aladdin,Cave,"Seek thee out, the diamond in the rough."
Aladdin,Iago,I can't believe it.  I just don't believe it. We're never gonna get a hold of that stupid lamp!  Just forget it.  Look at this.  Look at this.  I'm so ticked off that I'm molting!  (He flies up to JAFAR's shoulder.)
Aladdin,Jafar,"Patience, Iago.  Patience.  Gazeem was obviously less than worthy."
Aladdin,Iago,"Oh, there's a big surprise.  That's an incred--I think I'm gonna have a heart attack and die from not surprise!  What're we gonna do?  We got a big problem here,a big prob-"
Aladdin,Jafar,"Yes, we do.  Only one may enter.  I must find this one, this...diamond in the rough. (Cut to a rooftop, where ALADDIN rushes up to the edge, carrying a loaf of bread.  He almost drops it over the edge.)"
Aladdin,Guard,"Stop, thief!  I'll have your hands for a trophy, street rat!"
Aladdin,Aladdin,"All this for a loaf of bread? (He jumps off, landing on two ropes strung between buildings, with drying clothes on them.  He skies down them, collecting bits and pieces of clothing on him as he goes.  Finally, he's nearing the end of the rope, at a window, when a woman reaches out and slams the shutters closed.  ALADDIN slams into the shutters and falls to the street, his fall being broken by numerous awnings and the pile of clothes around him.  He pulls off the top layer of clothes and is about to enjoy his bread when...)"
Aladdin,Guard 1,There he is!
Aladdin,Guard 2,You won't get away so easy!
Aladdin,Aladdin,You think that was easy?
Aladdin,Guard 1,"You two, over that way, and you, with me.  We'll find him. (ALADDIN pulls a sheet over him and wraps himself as a disguise. He rushes over to the women.)"
Aladdin,Aladdin,"Morning, ladies."
Aladdin,Woman 1,"Getting into trouble a little early today, aren't we Aladdin?"
