Film Title,Character,Gender,Race/Ethnicity,Culture,Role,Marginalized,POC,Dialogue,Cleaned Dialogue
Aladdin,Jafar,Male,Middle Eastern,Agrabah,Antagonist,False,True,You...are late.,You...are late.
Aladdin,Jafar,Male,Middle Eastern,Agrabah,Antagonist,False,True,"You have it, then?","You have it, then?"
Aladdin,Jafar,Male,Middle Eastern,Agrabah,Antagonist,False,True,"Trust me, my pungent friend.  You'll get what's coming to you.","Trust me, my pungent friend.  You will get what is coming to you."
Aladdin,Iago,Male,Parrot,Agrabah,Supporting,False,False,"What's coming to you!  Awk! (JAFAR pulls out the second half of the medallion.  He connects them, and the insect medallion begins to glow.  Finally, it flies out of JAFAR's hand, scaring the horses, and is off towards the dunes.)",What is coming to you!  Awk!
Aladdin,Jafar,Male,Middle Eastern,Agrabah,Antagonist,False,True,"Quickly, follow the trail! (All ride off, following the glowing speck of light, until it reaches a large dune.  It separates into two and the halves plunge into the dune.  All that remains are two glowing points of light on the dune.  But then the dune begins to rise up, transforming into a giant lion's head, with the glowing points serving as the eyes.)","Quickly, follow the trail!"
Aladdin,Jafar,Male,Middle Eastern,Agrabah,Antagonist,False,True,"At last, after all my years of searching,  the cave of wonders!","At last, after all my years of searching,  the cave of wonders!"
Aladdin,Iago,Male,Parrot,Agrabah,Supporting,False,False,Awk!  Cave of wonders!,Awk!  Cave of wonders!
Aladdin,Jafar,Male,Middle Eastern,Agrabah,Antagonist,False,True,"Now, remember!  Bring me the lamp.  The rest of the treasure is yours, but the lamp is mine! (GAZEEM starts to approach the lion's mouth, which forms the entrance to the cave.  He chuckles as he goes.)","Now, remember!  Bring me the lamp.  The rest of the treasure is yours, but the lamp is mine!"
Aladdin,Iago,Male,Parrot,Agrabah,Supporting,False,False,"Awk, the lamp!  Awk,  the lamp!  (Now that IAGO and JAFAR are alone, IAGO opens up in normal English.) Jeez, where'd ya dig this bozo up? (JAFAR puts his finger to his lips and shushes him.  GAZEEM reaches the cave, but is blown away by the roar of the cave's speaking.)","Awk, the lamp!  Awk,  the lamp!   Jeez, where did ya dig this bozo up?"
Aladdin,Jafar,Male,Middle Eastern,Agrabah,Antagonist,False,True,"What are you waiting for?  Go on! (GAZEEM hesitates, then moves one foot inside the cave.  With great apprehension, he plants his foot down.  Nothing happens. Relieved, he begins his trek again.  Then another roar comes. He turns back, but the lion's mouth slams shut and the dune collapses back to normal.  All that are left are JAFAR, IAGO, and the two separated halves of the medallion.)",What are you waiting for?  Go on!
Aladdin,Iago,Male,Parrot,Agrabah,Supporting,False,False,I can't believe it.  I just don't believe it. We're never gonna get a hold of that stupid lamp!  Just forget it.  Look at this.  Look at this.  I'm so ticked off that I'm molting!  (He flies up to JAFAR's shoulder.),I cannot believe it.  I just do not believe it. We are never going to get a hold of that stupid lamp!  Just forget it.  Look at this.  Look at this.  I am so ticked off that I am molting!
Aladdin,Jafar,Male,Middle Eastern,Agrabah,Antagonist,False,True,"Patience, Iago.  Patience.  Gazeem was obviously less than worthy.","Patience, Iago.  Patience.  Gazeem was obviously less than worthy."
Aladdin,Iago,Male,Parrot,Agrabah,Supporting,False,False,"Oh, there's a big surprise.  That's an incred--I think I'm gonna have a heart attack and die from not surprise!  What're we gonna do?  We got a big problem here,a big prob-","Oh, there is a big surprise.  That is an incred--I think I am going to have a heart attack and die from not surprise!  What are we going to do?  We got a big problem here,a big prob-"
Aladdin,Jafar,Male,Middle Eastern,Agrabah,Antagonist,False,True,"Yes, we do.  Only one may enter.  I must find this one, this...diamond in the rough. (Cut to a rooftop, where ALADDIN rushes up to the edge, carrying a loaf of bread.  He almost drops it over the edge.)","Yes, we do.  Only one may enter.  I must find this one, this...diamond in the rough."
Aladdin,Aladdin,Male,Middle Eastern,Agrabah,Protagonist,True,True,"All this for a loaf of bread? (He jumps off, landing on two ropes strung between buildings, with drying clothes on them.  He skies down them, collecting bits and pieces of clothing on him as he goes.  Finally, he's nearing the end of the rope, at a window, when a woman reaches out and slams the shutters closed.  ALADDIN slams into the shutters and falls to the street, his fall being broken by numerous awnings and the pile of clothes around him.  He pulls off the top layer of clothes and is about to enjoy his bread when...)",All this for a loaf of bread?
Aladdin,Aladdin,Male,Middle Eastern,Agrabah,Protagonist,True,True,You think that was easy?,You think that was easy?
