Character,Gender,Race/Ethnicity,Culture,Role,Marginalized,POC,Dialogue,Cleaned Dialogue,Sentiment Scores,Compound Score,Sentiment
Miguel,Male,Latino,Mexican,Protagonist,False,True,'cause of something that happened before I was even born. A story begins to play out on the papel picado.,because of something that happened before I was even born. A story begins to play out on the papel picado.,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.34}",0.34,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,"See, a long time ago there was this family. The images on the papel picado come to life to illustrate a","See, a long time ago there was this family. The images on the papel picado come to life to illustrate a","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,"The pap , he was a musician. The pap  plays guitar while the mother dances with her daughter.","The pap , he was a musician. The pap  plays guitar while the mother dances with her daughter.","{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.25}",0.25,Positive 😊
Miguel,Male,Latino,Mexican,Protagonist,False,True,"He and his family would sing, and (beat) for the world. (beat) And one day he left with his another vignette his daughter stands in the doorway, watching mam , hardened. She shuts the door. 2.","He and his family would sing, and  for the world.  And one day he left with his another vignette his daughter stands in the doorway, watching mam , hardened. She shuts the door. 2.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,time to cry over that walkaway musician! (beat) After banishing all music from her The woman gets rid of all of her husband's instruments and records.,time to cry over that walkaway musician!  After banishing all music from her The woman gets rid of all of her husband's instruments and records.,"{'neg': 0.124, 'neu': 0.876, 'pos': 0.0, 'compound': -0.5255}",-0.5255,Negative 😡
Miguel,Male,Latino,Mexican,Protagonist,False,True,"She found a way to provide for her (beat) She rolled up her sleeves and she learned to make shoes. (beat) She could have made candy! Amongst the papel picado, a stick swings at a strung up","She found a way to provide for her  She rolled up her sleeves and she learned to make shoes.  She could have made candy! Amongst the papel picado, a stick swings at a strung up","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,Or fireworks!,Or fireworks!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,Or sparkly underwear for wrestlers! Sparkly underwear and a luchador mask hang on a line amongst,Or sparkly underwear for wrestlers! Sparkly underwear and a luchador mask hang on a line amongst,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,"On the papel picado, the little girl becomes a young woman.","On the papel picado, the little girl becomes a young woman.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Miguel,Male,Latino,Mexican,Protagonist,False,True,Then she taught her daughter to her son-in-law. She introduces a suitor to the family business.,Then she taught her daughter to her son-in-law. She introduces a suitor to the family business.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
