Character,Gender,Race/Ethnicity,Culture,Role,Marginalized,POC,Dialogue,Cleaned Dialogue
Miguel,Male,Latino,Mexican,Protagonist,False,True,'cause of something that happened before I was even born. A story begins to play out on the papel picado.,because of something that happened before I was even born. A story begins to play out on the papel picado.
Miguel,Male,Latino,Mexican,Protagonist,False,True,"See, a long time ago there was this family. The images on the papel picado come to life to illustrate a","See, a long time ago there was this family. The images on the papel picado come to life to illustrate a"
Miguel,Male,Latino,Mexican,Protagonist,False,True,"The pap , he was a musician. The pap  plays guitar while the mother dances with her daughter.","The pap , he was a musician. The pap  plays guitar while the mother dances with her daughter."
Miguel,Male,Latino,Mexican,Protagonist,False,True,"He and his family would sing, and (beat) for the world. (beat) And one day he left with his another vignette his daughter stands in the doorway, watching mam , hardened. She shuts the door. 2.","He and his family would sing, and  for the world.  And one day he left with his another vignette his daughter stands in the doorway, watching mam , hardened. She shuts the door. 2."
Miguel,Male,Latino,Mexican,Protagonist,False,True,time to cry over that walkaway musician! (beat) After banishing all music from her The woman gets rid of all of her husband's instruments and records.,time to cry over that walkaway musician!  After banishing all music from her The woman gets rid of all of her husband's instruments and records.
Miguel,Male,Latino,Mexican,Protagonist,False,True,"She found a way to provide for her (beat) She rolled up her sleeves and she learned to make shoes. (beat) She could have made candy! Amongst the papel picado, a stick swings at a strung up","She found a way to provide for her  She rolled up her sleeves and she learned to make shoes.  She could have made candy! Amongst the papel picado, a stick swings at a strung up"
Miguel,Male,Latino,Mexican,Protagonist,False,True,Or fireworks!,Or fireworks!
Miguel,Male,Latino,Mexican,Protagonist,False,True,Or sparkly underwear for wrestlers! Sparkly underwear and a luchador mask hang on a line amongst,Or sparkly underwear for wrestlers! Sparkly underwear and a luchador mask hang on a line amongst
Miguel,Male,Latino,Mexican,Protagonist,False,True,"On the papel picado, the little girl becomes a young woman.","On the papel picado, the little girl becomes a young woman."
Miguel,Male,Latino,Mexican,Protagonist,False,True,Then she taught her daughter to her son-in-law. She introduces a suitor to the family business.,Then she taught her daughter to her son-in-law. She introduces a suitor to the family business.
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Then her grandkids got roped in. As her family grew, so did the business. In the next vignette, a bunch of goofy grandchildren join in 3.","Then her grandkids got roped in. As her family grew, so did the business. In the next vignette, a bunch of goofy grandchildren join in 3."
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Music had torn her family apart, but shoes held them all together. (beat) You see, that woman was my great- great grandmother, Mam  Imelda. TILT DOWN from the papel picado to the OFRENDA ROOM - DAY face has been torn away.","Music had torn her family apart, but shoes held them all together.  You see, that woman was my great- great grandmother, Mam  Imelda. TILT DOWN from the papel picado to the OFRENDA ROOM - DAY face has been torn away."
Miguel,Male,Latino,Mexican,Protagonist,False,True,"She died WAY before I was born. But my family still tells her story every year on D a de los Muertos -- (beat) And her little girl? Fade from the face of the little girl to present day MAM COCO (97), a living raisin, convalescing in a wicker wheelchair.","She died WAY before I was born. But my family still tells her story every year on D a de los Muertos --  And her little girl? Fade from the face of the little girl to present day MAM COCO , a living raisin, convalescing in a wicker wheelchair."
Miguel,Male,Latino,Mexican,Protagonist,False,True,"She's my great grandmother, Mam Coco. A boy (12) walks into frame and kisses her on the cheek. This is our narrator, MIGUEL.","She is my great grandmother, Mam Coco. A boy  walks into frame and kisses her on the cheek. This is our narrator, MIGUEL."
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Hol , Mam  Coco.","Hol , Mam  Coco."
Mama Coco,Female,Latino,Mexican,Supporting,False,True,"How are you, Julio?","How are you, Julio?"
Miguel,Male,Latino,Mexican,Protagonist,False,True,Coco has trouble remembering much everything. QUICK CUTS of Miguel with Mam  Coco: 4.,Coco has trouble remembering much everything. QUICK CUTS of Miguel with Mam  Coco: 4.
Miguel,Male,Latino,Mexican,Protagonist,False,True,switches to flat palms.,switches to flat palms.
Miguel,Male,Latino,Mexican,Protagonist,False,True,"But now I run like this which is way faster! CUT TO: Miguel, in a luchador mask, climbs onto the bed, arms raised.","But now I run like this which is way faster! CUT TO: Miguel, in a luchador mask, climbs onto the bed, arms raised."
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Coco! Miguel leaps off the bed onto a pile of pillows that bursts, sending feathers onto Mam  Coco who wears a mask of her own. CUT TO: Miguel leans toward Mam  Coco at the dinner table.","Coco! Miguel leaps off the bed onto a pile of pillows that bursts, sending feathers onto Mam  Coco who wears a mask of her own. CUT TO: Miguel leans toward Mam  Coco at the dinner table."
Miguel,Male,Latino,Mexican,Protagonist,False,True,"I have a dimple on this side, but","I have a dimple on this side, but"
Abuelita,Female,Latino,Mexican,Supporting,False,True,Miguel's ABUELITA (70s) runs the table like a ship captain. She gives Mam  Coco a kiss on the head.,Miguel's ABUELITA  runs the table like a ship captain. She gives Mam  Coco a kiss on the head.
Miguel,Male,Latino,Mexican,Protagonist,False,True,daughter. Abuelita piles extra tamales on Miguel's plate.,daughter. Abuelita piles extra tamales on Miguel's plate.
Abuelita,Female,Latino,Mexican,Supporting,False,True,more. 5.,more. 5.
Miguel,Male,Latino,Mexican,Protagonist,False,True,"No, gracias.","No, gracias."
Abuelita,Female,Latino,Mexican,Supporting,False,True,I asked if you would like more tamales.,I asked if you would like more tamales.
Miguel,Male,Latino,Mexican,Protagonist,False,True,S-s ?,S-s ?
Abuelita,Female,Latino,Mexican,Supporting,False,True,That's what I THOUGHT you said.,That is what I THOUGHT you said.
Miguel,Male,Latino,Mexican,Protagonist,False,True,Abuelita runs our house just like Mam  Imelda did. CUT TO: she perks her ear at a hooting sound. the bottle away.,Abuelita runs our house just like Mam  Imelda did. CUT TO: she perks her ear at a hooting sound. the bottle away.
Abuelita,Female,Latino,Mexican,Supporting,False,True,"No music! Miguel listens as a truck drives by the window, blaring radio","No music! Miguel listens as a truck drives by the window, blaring radio"
Abuelita,Female,Latino,Mexican,Supporting,False,True,A trio of gentlemen serenade each other as they stroll by the family compound.,A trio of gentlemen serenade each other as they stroll by the family compound.
Abuelita,Female,Latino,Mexican,Supporting,False,True,"Terrified, the musicians stumble as they run away.","Terrified, the musicians stumble as they run away."
Miguel,Male,Latino,Mexican,Protagonist,False,True,"I think we're the only family in We see the Rivera family tinkering in the shoe shop, no music","I think we are the only family in We see the Rivera family tinkering in the shoe shop, no music"
Miguel,Male,Latino,Mexican,Protagonist,False,True,"He grabs his shine box, and heads out of the shoe shop.","He grabs his shine box, and heads out of the shoe shop."
Miguel,Male,Latino,Mexican,Protagonist,False,True,But me?,But me?
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Love you, Mam ! Once outside, Miguel makes his way through the small town of SANTA CECILIA - MORNING","Love you, Mam ! Once outside, Miguel makes his way through the small town of SANTA CECILIA - MORNING"
Miguel,Male,Latino,Mexican,Protagonist,False,True,I am NOT like the rest of my He passes a woman sweeping a stoop.,I am NOT like the rest of my He passes a woman sweeping a stoop.
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Hola! with some air guitar and the further down the street he goes, church chime in harmony, a radio blares a cumbia rhythm. 7. Running past a food stand, Miguel grabs a roll of pan dulce and tosses the vendor a coin.","Hola! with some air guitar and the further down the street he goes, church chime in harmony, a radio blares a cumbia rhythm. 7. Running past a food stand, Miguel grabs a roll of pan dulce and tosses the vendor a coin."
Miguel,Male,Latino,Mexican,Protagonist,False,True,Muchas gracias!,Muchas gracias!
Miguel,Male,Latino,Mexican,Protagonist,False,True,Miguel holds the pan dulce over Dante's head.,Miguel holds the pan dulce over Dante's head.
Miguel,Male,Latino,Mexican,Protagonist,False,True,Fist bump. Dante obeys to the best of his ability.,Fist bump. Dante obeys to the best of his ability.
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Good boy, Dante! Miguel tosses the pan dulce to his furless friend who topples back into the trash can. CUT TO: MARIACHI PLAZA - MOMENTS LATER sell sugar skulls and marigolds, and musicians fill the square with music.","Good boy, Dante! Miguel tosses the pan dulce to his furless friend who topples back into the trash can. CUT TO: MARIACHI PLAZA - MOMENTS LATER sell sugar skulls and marigolds, and musicians fill the square with music."
Miguel,Male,Latino,Mexican,Protagonist,False,True,I know I'm not supposed to love music -- but it's not my fault! (beat) Miguel approaches a statue of a handsome mariachi at the heart of the plaza. 8.,I know I am not supposed to love music -- but it is not my fault!  Miguel approaches a statue of a handsome mariachi at the heart of the plaza. 8.
Miguel,Male,Latino,Mexican,Protagonist,False,True,time. A tour group and their TOUR GUIDE are gathered around the base of the statue.,time. A tour group and their TOUR GUIDE are gathered around the base of the statue.
Miguel,Male,Latino,Mexican,Protagonist,False,True,"He started out a total nobody from he played music, he made people fall in love with him. guitar with flourish and flair.","He started out a total nobody from he played music, he made people fall in love with him. guitar with flourish and flair."
Miguel,Male,Latino,Mexican,Protagonist,False,True,"A CLIP features de la Cruz dressed as a hovering priest, held up by strings, in front of a cycling sky flat.","A CLIP features de la Cruz dressed as a hovering priest, held up by strings, in front of a cycling sky flat."
Miguel,Male,Latino,Mexican,Protagonist,False,True,A CLIP of de la Cruz performing in a fancy nightclub.,A CLIP of de la Cruz performing in a fancy nightclub.
Miguel,Male,Latino,Mexican,Protagonist,False,True,"He lived the kind of life you dream As the audience swoons over de la Cruz, an absent-minded","He lived the kind of life you dream As the audience swoons over de la Cruz, an absent-minded"
Miguel,Male,Latino,Mexican,Protagonist,False,True,When he was crushed by a giant bell. CUT TO: MARIACHI PLAZA - DAY Miguel gazes up at the statue of de la Cruz in awe.,When he was crushed by a giant bell. CUT TO: MARIACHI PLAZA - DAY Miguel gazes up at the statue of de la Cruz in awe.
Miguel,Male,Latino,Mexican,Protagonist,False,True,I wanna be just like him. CUT TO: Miguel weaves up to de la Cruz's mausoleum and peeks in the guitar.,I want to be just like him. CUT TO: Miguel weaves up to de la Cruz's mausoleum and peeks in the guitar.
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Sometimes, I look at de la Cruz and could play music, maybe someday I 10.","Sometimes, I look at de la Cruz and could play music, maybe someday I 10."
Mariachi,Male,Latino,Mexican,Supporting,True,True,"(playful) Ay, ay, ay, muchacho.","Ay, ay, ay, muchacho."
Miguel,Male,Latino,Mexican,Protagonist,False,True,Huh?,Huh?
Mariachi,Male,Latino,Mexican,Supporting,True,True,"I asked for a shoe shine, not your life story. Miguel comes out of his reverie and looks up at the PLAZA MARIACHI whose shoes he is shining.","I asked for a shoe shine, not your life story. Miguel comes out of his reverie and looks up at the PLAZA MARIACHI whose shoes he is shining."
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Oh, yeah, sorry. the mariachi plucks his guitar idly.","Oh, yeah, sorry. the mariachi plucks his guitar idly."
Miguel,Male,Latino,Mexican,Protagonist,False,True,I just can't really talk about any,I just cannot really talk about any
Mariachi,Male,Latino,Mexican,Supporting,True,True,"Look, if I were you I'd march right","Look, if I were you I would march right"
Mariachi,Male,Latino,Mexican,Supporting,True,True,"You ARE a musician, no?","You ARE a musician, no?"
Miguel,Male,Latino,Mexican,Protagonist,False,True,really play for myself--,really play for myself--
Mariachi,Male,Latino,Mexican,Supporting,True,True,"Did de la Cruz become the world's best musician by hiding his sweet, onto that plaza and he played out loud! 11.","Did de la Cruz become the world's best musician by hiding his sweet, onto that plaza and he played out loud! 11."
Mariachi,Male,Latino,Mexican,Supporting,True,True,up!,up!
Miguel,Male,Latino,Mexican,Protagonist,False,True,"Uh-uh, my family would freak!","Uh-uh, my family would freak!"
Mariachi,Male,Latino,Mexican,Supporting,True,True,"Look, if you're too scared, then, Miguel considers this.","Look, if you are too scared, then, Miguel considers this."
Mariachi,Male,Latino,Mexican,Supporting,True,True,say?,say?
Miguel,Male,Latino,Mexican,Protagonist,False,True,"The mariachi appraises Miguel, then offers his guitar.","The mariachi appraises Miguel, then offers his guitar."
Mariachi,Male,Latino,Mexican,Supporting,True,True,"Show me what you got, muchacho. I'll be your first audience. instrument, regarding it as if holding a holy relic. Miguel spreads his fingers across the strings anticipating","Show me what you got, muchacho. I will be your first audience. instrument, regarding it as if holding a holy relic. Miguel spreads his fingers across the strings anticipating"
Abuelita,Female,Latino,Mexican,Supporting,False,True,"MIGUEL! Startled, Miguel impulsively throws the guitar back onto the with supplies from the market.","MIGUEL! Startled, Miguel impulsively throws the guitar back onto the with supplies from the market."
Miguel,Male,Latino,Mexican,Protagonist,False,True,Abuelita!,Abuelita!
Abuelita,Female,Latino,Mexican,Supporting,False,True,What are you doing here? 12.,What are you doing here? 12.
Miguel,Male,Latino,Mexican,Protagonist,False,True,Miguel quickly packs away his shine rag and polishes. Abuelita barrels up to the mariachi. She hits his hat with her shoe and waves him away.,Miguel quickly packs away his shine rag and polishes. Abuelita barrels up to the mariachi. She hits his hat with her shoe and waves him away.
