Film Title,Character,Gender,Race/Ethnicity,Culture,Role,Marginalized,POC,Dialogue
Mulan,General Li,Male,Chinese,Chinese,Supporting,True,True,"Your Majesty, the Huns have crossed our Northern border."
Mulan,General Li,Male,Chinese,Chinese,Supporting,True,True,Shun-Yu is leading them.  We'll set up defenses around your palace immediately.
Mulan,Emperor,Male,Chinese,Chinese,Supporting,True,True,Deliver conscription notices throughout all the provinces.  Call up reserves and as many new recruits as possible.
Mulan,General Li,Male,Chinese,Chinese,Supporting,True,True,"Forgive me your Majesty, but I believe my troops can stop him."
Mulan,Emperor,Male,Chinese,Chinese,Supporting,True,True,"I wont take any chances, General.  A single grain of rice can tip the scale.  One man may be the difference between victory and defeat. [Cut to Mulan using her chopsticks to single out a grain of rice on top of the mound of rice]"
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,"Quiet and demure...graceful...polite...[picking up some rice with her chopsticks and eating a mouthful] delicate...refined...poised... [She sets down her chopsticks and writes down a final word on her right arm] punctual. Aiya.    Little brother. Little brother.  Lit- ahhh, there you are.  Who's the smartest doggie in the world?  Come on smart boy, can you help me with my chores today? [Mulan ties a sack of grain around Little Brother's waist.  She ties a stick onto Little brother so that end of it is in front of Little Brother's face. She ties the bone on the end of the stick just out of reach.  Little Brother begins to run after the bone which he cannot reach.  Mulan opens the door for Little Brother and he runs into the door frame, then out the open door. Little brother runs by the chickens and Khan - the family horse] [Cut to Mulan's Father, Fa Zhou, kneeling and praying before the Fa family's ancestors]"
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,"Honorable ancestors, please help Mulan impress the matchmaker today. Little Brother [running into the temple and around Fa Zhou scattering grain around the floor]: Bark, bark, bark, bark, bark. [The chickens follow Little Brother into the temple and begin to feed on the grain]"
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,"Please, PLEASE, help her. [Mulan steps up to the temple seeing Little Brother on his hind legs trying to get the bone.  Mulan bends the stick down so that Little brother can reach the bone.  Little brother gnaws on the bone happily.  Mulan continues toward the temple]"
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,Mulan--
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,I brought a spare. [Mulan pulls out a cup from underneath the back of her dress and begins to pour the tea]
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,Mulan--
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,Mulan--
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,And three at night.
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,"Mulan, you should already be in town.  We're counting on you to up--"
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,--uphold the family honor.  Don't worry father.  I wont let you down. Wish me luck.
Mulan,Fa Li,Female,Chinese,Chinese,Supporting,True,True,Of all days to be late.  I should have prayed to the ancestors for luck.
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,I'm here.   What?  But Mama I had to--
Mulan,Fa Li,Female,Chinese,Chinese,Supporting,True,True,None of your 'xcuses.  Now let's get you cleaned up. [They walk together into the preparation area]
Mulan,Matchmaker,Female,Chinese,Chinese,Supporting,True,True,Speaking without permission.
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,Oops.
Mulan,Matchmaker,Female,Chinese,Chinese,Supporting,True,True,Well...
Mulan,Matchmaker,Female,Chinese,Chinese,Supporting,True,True,And silent!
Mulan,Matchmaker,Female,Chinese,Chinese,Supporting,True,True,"Why you clumsy--[Matchmaker feels Cri-Kee in her dress and dances around]  Wooo, woooo, wooooooo, [Matchmaker knocks over her pot of coals, and sits down on the coals.  Matchmaker jumps around screaming]  Ahhhhhhhhhhh [Mulan grabs her fan and briskly fans the charred area on Matchmaker's behind causing it to flame up.  Mulan looks surprised about her mistake] [Cut to outside Matchmakers building showing Grandma Fa with much noise coming from Matchmaker's building]"
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,"My, my, what beautiful blossoms we have this year [looking up into the blossom tree].  But look, this one's late.  But, I'll bet that when it blooms, it will be the most beautiful of all.  [Mulan and Fa Zhou share smiles.  Drums start pounding announcing the arrival of Chi Fu and two guards on horseback]"
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,What is it? [Fa Zhou gets up and walks to the entrance of their house with Mulan following]
Mulan,Fa Li,Female,Chinese,Chinese,Supporting,True,True,"Mulan, stay inside. [Grandma Fa clears her throat catching Mulan's attention and motions inside. Mulan spies the railing near the wall and climbs up to watch over the roof]"
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,No. [Fa Zhou gives his cane to Fa Li and walks toward Chi Fu.  Fa Zhou bows before the horsemen]
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,"Please sir, my father has already fought bravely--"
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,"Yes, sir. [Fa Zhou walks back into the homestead refusing to take his cane from Fa Li]"
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,You shouldn't have to go.
Mulan,Fa Li,Female,Chinese,Chinese,Supporting,True,True,Mulan!
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,There are plenty of young men to fight for China.
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,It is an honor to protect my country and my family.
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,"I know my place, it is time you learned yours. [Mulan looking like she's about to cry, turn away from Fa Zhou and runs outside into the rain storm and cries] [Cut to Mulan sitting at the base of the Great Stone Dragon in the rain. Mulan looks down to see her reflection in the puddle caused by the rain. She watches her parents in the bedroom.  Fa Li turns away from Fa Zhou and walks out of site.  Fa Zhou blows out the light.  Mulan gets up and walks to the Fa Family Temple.  Mulan's image reflects off the stone tablets as she lights incense and places it in the hanging encense holder.  She bows and prays to her ancestors. Getting up, Mulan hurries down the steps.  Cri-Kee sees her and hops down from above and follows her.  Mulan goes to her parent's bedroom and takes the conscription notice replacing it with the hair comb her mother gave to her.  She pauses to give her parents a loving, sorrowful look and hurries out.  Cut to Mulan in the armory.  She opens the cabinet with the armor. Using her father's sword, she cuts her hair short and ties it up above her head.  She finishes putting on the armor and ties it in the front.  She takes the sword and places it in the scabbard to her left.  Cut to Mulan in the stable doorway.  Khan rears back in fright at the sight of Mulan.  Mulan goes forward and comforts Khan letting him know her identity.  Mulan walks Khan out of the stable, Cri-Kee watches from the ground as she passes by.  Mulan takes one sorrowful glance back at her parents bedroom and rides Khan through the gate and off to camp.] [Cut to the face of a statue in the Fa Family Temple.  The eyes glow.  Cut to Grandma Fa.  She wakes up with a start rising in bed.  Cut to Grandma Fa walking into Fa Li and Fa Zhou's bedroom, both are in bed]"
Mulan,Mushu,Male,Mythical Creature,Chinese,Supporting,False,False,"Hey, let me say something. Anybody who is foolish enough to threaten our family, vengeance will be MINE.  Hrrrrr."
Mulan,Mushu,Male,Mythical Creature,Chinese,Supporting,False,False,I...ring the gong.
Mulan,First Ancestor,Male,Spiritual Entity,Chinese,Supporting,False,False,"That's right, now, wake up the ancestors."
Mulan,Mushu,Male,Mythical Creature,Chinese,Supporting,False,False,"One family reunion coming right up.   Okay people, people look alive, lets go! C'mon get up.  Let's move it, rise and shine. You're way past the beauty sleep thing now trust me!"
Mulan,First Ancestor,Male,Spiritual Entity,Chinese,Supporting,False,False,Silence!  We must send the most powerful of all [Motioning to the Great Stone Dragon as it is seen through the window]
Mulan,Mushu,Male,Mythical Creature,Chinese,Supporting,False,False,And your point is?
Mulan,First Ancestor,Male,Spiritual Entity,Chinese,Supporting,False,False,The point is we will be sending a real dragon to retrieve Mulan.
Mulan,Mushu,Male,Mythical Creature,Chinese,Supporting,False,False,"What?  But I'm a real dragon. First Ancestor [grabbing Mushu and pulling him away from the guardian post as Mushu fights to hold on]:  You are not worthy of this spot.  Now, awaken the Great Stone Dragon."
Mulan,First Ancestor,Male,Spiritual Entity,Chinese,Supporting,False,False,"Go, The fate of the Fa Family rests in your claws."
Mulan,Mushu,Male,Mythical Creature,Chinese,Supporting,False,False,"Don't even worry about it, I will not lose face.  [Mushu falls down the hill under the weight of the Great Stone Dragon's head and lands on the dragon's pedestal with the head falling on top of him]"
Mulan,Cri-Kee,Male,Cricket,Chinese,Supporting,False,False,"Chirp, Chirp."
