Film Title,Character,Dialogue
Mulan,Guard ,We're under attack!  Light the signal! [Guard runs to the tower and up the ladder as Hun Bald Man #1 and Hun Long Hair Man appear trying to stop him.  Hun Bald Man #1 breaks the ladder with his sword just as Guard reaches the top.  The guard picks up the torch to light the fire and sees Shan-Yu jump over the edge of the tower and looks at him across from the caldron.  The guard throws the torch into the caldron lighting a large fire.  Shan-Yu watches as each tower lights their caldrons one by one]
Mulan,Guard ,Now all of China knows you're here.
Mulan,Shan-Yu ,"Perfect. [Cut to the palace.  The large doors to the central chamber open as General Li walks in flanked on his left and right by soldiers and approaches the Emperor. He bows, then looks up]"
Mulan,General Li,"Your Majesty, the Huns have crossed our Northern border."
Mulan,Chi Fu,Impossible! No one can get through The Great Wall.  [The Emperor motions for Chi Fu's silence]
Mulan,General Li,Shun-Yu is leading them.  We'll set up defenses around your palace immediately.
Mulan,Emperor ,"No!  Send your troops to protect my people.  Chi Fu,"
Mulan,Chi Fu,"Yes, your highness."
Mulan,Emperor,Deliver conscription notices throughout all the provinces.  Call up reserves and as many new recruits as possible.
Mulan,General Li,"Forgive me your Majesty, but I believe my troops can stop him."
Mulan,Emperor,"I wont take any chances, General.  A single grain of rice can tip the scale.  One man may be the difference between victory and defeat. [Cut to Mulan using her chopsticks to single out a grain of rice on top of the mound of rice]"
Mulan,Mulan,"Quiet and demure...graceful...polite...[picking up some rice with her chopsticks and eating a mouthful] delicate...refined...poised... [She sets down her chopsticks and writes down a final word on her right arm] punctual. Aiya.    Little brother. Little brother.  Lit- ahhh, there you are.  Who's the smartest doggie in the world?  Come on smart boy, can you help me with my chores today? [Mulan ties a sack of grain around Little Brother's waist.  She ties a stick onto Little brother so that end of it is in front of Little Brother's face. She ties the bone on the end of the stick just out of reach.  Little Brother begins to run after the bone which he cannot reach.  Mulan opens the door for Little Brother and he runs into the door frame, then out the open door. Little brother runs by the chickens and Khan - the family horse] [Cut to Mulan's Father, Fa Zhou, kneeling and praying before the Fa family's ancestors]"
Mulan,Fa Zhou,"Honorable ancestors, please help Mulan impress the matchmaker today. Little Brother [running into the temple and around Fa Zhou scattering grain around the floor]: Bark, bark, bark, bark, bark. [The chickens follow Little Brother into the temple and begin to feed on the grain]"
Mulan,Fa Zhou,"Please, PLEASE, help her. [Mulan steps up to the temple seeing Little Brother on his hind legs trying to get the bone.  Mulan bends the stick down so that Little brother can reach the bone.  Little brother gnaws on the bone happily.  Mulan continues toward the temple]"
Mulan,Mulan ,Father I brought your--whoop!  [Fa Zhou bumps into Mulan. The cup falls to the ground and Fa Zhou catches the teapot with the handle of his cane]
Mulan,Fa Zhou,Mulan--
Mulan,Mulan,I brought a spare. [Mulan pulls out a cup from underneath the back of her dress and begins to pour the tea]
Mulan,Fa Zhou,Mulan--
Mulan,Mulan ,"Remember, the doctor said three cups of tea in the morning--"
Mulan,Fa Zhou,Mulan--
Mulan,Mulan,And three at night.
Mulan,Fa Zhou,"Mulan, you should already be in town.  We're counting on you to up--"
Mulan,Mulan,--uphold the family honor.  Don't worry father.  I wont let you down. Wish me luck.
Mulan,Fa Zhou ,Hurry!   I'm going to...pray some more.
Mulan,Bath Lady ,"Fa Li, is your daughter here yet? The matchmaker is not a patient woman."
Mulan,Fa Li,Of all days to be late.  I should have prayed to the ancestors for luck.
Mulan,Grandma Fa ,"How lucky can they be, they're dead.  Besides,  I've got all the luck we'll need.  [Speaking to Cri-Kee]  This is your chance to prove yourself.  [Cri-Kee chirps approvingly. Grandma Fa covers her eyes steps into a busy street]"
Mulan,Fa Li ,"Grandma No! [The traffic barely misses Grandma Fa as she crosses the busy street.  But two horse and carriage collide causing a big accident.  She arrives at the other side of the street, uncovers here eyes and looks at Cri-Kee]"
Mulan,Grandma Fa,"Yep, this cricket's a lucky one. [Cri-Kee falls over out of fright]"
