Film Title,Character,Dialogue
Pocahontas,Englishman,Ready to hoist the cannon?
Pocahontas,Englishman,Aye!
Pocahontas,Lon,"Hey, look! Is that Smith?"
Pocahontas,Ben,"That’s him, all right, the old sea dog."
Pocahontas,Thomas,Captain John Smith! I’ve heard some amazing stories about him.
Pocahontas,Lon,"Are you coming on this voyage, too?"
Pocahontas,Ben,"‘Course he is, you half-wit. You can’t fight Indians without John Smith."
Pocahontas,John Smith,That’s right. I’m not about to let you boys have all the fun.
Pocahontas,English Chorus,On the beaches of Virginny
Pocahontas,Englishman,Full anchor release!
Pocahontas,Englishman,"Come on, lads, come on!"
Pocahontas,Englishman,"Give me a hand, someone!"
Pocahontas,Englishman,Watch out!
Pocahontas,Englishman,Faster! She’s taking up more water!
Pocahontas,Englishman,Look out!
Pocahontas,Thomas,John! Get down here! The cannons are breaking loose!
Pocahontas,John Smith,Reef the topsails!
Pocahontas,Englishman,"Aye, sir!"
Pocahontas,John Smith,"Steady on the course. It’s all right, Thomas. We’ll get her tied off."
Pocahontas,Englishman,"Say your prayers, lad!"
Pocahontas,Englishman,Look out!
Pocahontas,Englishman,Oh no!
Pocahontas,John Smith,"Thomas, watch out!"
Pocahontas,Thomas,Help!
Pocahontas,Thomas,Help!
Pocahontas,Ben,Stay your course. He’s lost.
Pocahontas,Thomas,Help!
Pocahontas,John Smith,Pull the pin!
Pocahontas,Englishman,"Aye, sir!"
Pocahontas,Ben,Smith! Smith! Are you crazy?
Pocahontas,John Smith,"Hang on, Thomas. I’ve got you."
Pocahontas,Lon,"Quick, the rope!"
Pocahontas,Ben,"Heave! Come on, lads, pull! Pull! Pull! Put your back into it!"
Pocahontas,Englishman,Pull! Pull!
Pocahontas,Lon,Hang on!
Pocahontas,Englishman,Yeah!
Pocahontas,Ben,"There, me lucky lad."
Pocahontas,John Smith,"Well, that was refreshing."
Pocahontas,Lon,"Well done, Smith."
Pocahontas,John Smith,Of course. You’d all do the same for me.
Pocahontas,Ben,"Oh, sure, sure, of course we would."
Pocahontas,Lon,"Yes yes, yes. We would."
Pocahontas,Ben,Absolutely.
Pocahontas,Ratcliffe,Trouble on deck?
Pocahontas,Thomas,Governor Ratcliffe!
Pocahontas,John Smith,"Thomas fell overboard, sir."
Pocahontas,Ratcliffe,"Thank heavens he’s been successfully retrieved. Well done, Smith."
Pocahontas,John Smith,"Thank you, sir."
Pocahontas,Ratcliffe,"Don’t lose heart, men. It won’t be long before we reach the New World, and remember what awaits us there: freedom—"
Pocahontas,Percy,[Bark.]
Pocahontas,Ratcliffe,Prosperity—
Pocahontas,Percy,[Bark bark.]
Pocahontas,Ratcliffe,"The adventure of our lives. You are the finest crew England has to offer and nothing, not wind nor rain nor a thousand bloodthirsty savages shall stand in our way. Carry on men!"
Pocahontas,Englishmen,[Cheer.]
Pocahontas,Wiggins,A stirring oration sir. I’m sure the men were most exhilarated.
Pocahontas,Ratcliffe,"Let us hope so. I’ll need those witless peasants to dig up my gold, won’t I?"
Pocahontas,Thomas,"This New World’s going to be great, John. I’m going to get a pile of gold, build me a big house and if any Indian tries to stop me, I’ll blast him."
Pocahontas,John Smith,"You just worry about that fortune of yours, Thomas. Leave the savages to me."
Pocahontas,Lon,You think they’ll give us much trouble?
Pocahontas,Ben,Not as much trouble as Smith’ll give them!
Pocahontas,Englishmen,We’ll kill ourselves an Injun
Pocahontas,John Smith,Or maybe two or three
Pocahontas,Thomas,What do you suppose the New World will look like?
Pocahontas,John Smith,"Like all the others, I suppose. I’ve seen hundreds of New Worlds, Thomas. What could possibly be different about this one?"
Pocahontas,Englishmen,"It’s glory, God and gold"
Pocahontas,Native Americans,Hega hega ya-hi-ye hega
Pocahontas,Kekata,Ka-ma wingapo Powhatan.
Pocahontas,Powhatan,"Ay-man-ay-cho, Kekata. It’s good to be home. Chesk-cham-ay! The Massawomecks are defeated! With the help of our brothers, our villages are safe again!"
Pocahontas,Native Americans,[Cheer.]
Pocahontas,Kekata,Your return has brought much joy to the village. Look at all the smiling faces.
Pocahontas,Powhatan,"Yes, but there is one smiling face I don’t see. Where is my daughter?"
Pocahontas,Kekata,You know Pocahontas. She has her mother’s spirit. She goes wherever the wind takes her.
Pocahontas,Nakoma,Pocahontas! Your father’s back! Come down here!
Pocahontas,Pocahontas,"He’s back, Flit! Come on, Meeko."
Pocahontas,Nakoma,"No, not that… way."
Pocahontas,Nakoma,"Show-off. Pocahontas? Pocahontas? Are you all right? Well, you better be all right because I’m not coming in after you…! [Coughs.] Don’t you think we’re getting a little old for these games?"
Pocahontas,Pocahontas,Help me turn this thing over.
