Film Title,Character,Gender,Race/Ethnicity,Culture,Role,Marginalized,POC,Dialogue
The Princess and the Frog,Eudora,Female,Middle Eastern,New Orleans,Supporting,False,True,"Just in that moment, the ugly little frog looked up with his sad, round eyes and pleaded: ""Oh, please, dear princess, Only a kiss from you can break this terrible spell, that was inflicted on me by a wicked witch."""
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,There comes my favorite part.
The Princess and the Frog,Eudora,Female,Middle Eastern,New Orleans,Supporting,False,True,"And the beautiful princess was so moved by his desperate plea, that she stooped down, picked up the slippery creature, leaned forward, raised him to her lips, and kissed that little frog. Than the frog was transformed into a handsome prince. They were married and lived happily ever after. The end."
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"Yay! Read it again, read it again!"
The Princess and the Frog,Eudora,Female,Middle Eastern,New Orleans,Supporting,False,True,"Sorry Charlotte, it’s time for us to be headin’ home. Say good night, Tiana."
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,"There is no way, in this whole wide world I would ever, ever, ever, I mean never kiss a frog. Yuck!"
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"Is that so?  Well, here's your prince charming, Tia. Come on, kiss him."
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,No!
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,Kiss him!
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,Stop it!
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"Kiss him, kiss him, kiss him!"
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,"I won’t, I won’t, I won’t!"
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"I would do it. I would kiss a frog. I would kiss a hundred frogs, if I could marry a prince and be a princess."
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"Daddy, Daddy, look at my new dress! Isn’t it pretty?"
The Princess and the Frog,Big Daddy,Male,Caucasian,New Orleans,Antagonist,False,False,"Hah, hah, look at you. Why, I’d expect nothin’ less from the finest seamstress in New Orleans."
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"Uuh, I want that there."
The Princess and the Frog,Big Daddy,Male,Caucasian,New Orleans,Antagonist,False,False,"Oh, no sugar come on."
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"I want that one. Please, please, please, please!"
The Princess and the Frog,Big Daddy,Male,Caucasian,New Orleans,Antagonist,False,False,Eudora. You suppose you can web something up like that?
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,Yay!
The Princess and the Frog,Big Daddy,Male,Caucasian,New Orleans,Antagonist,False,False,"All right, now, princess, you gettin’ that drift but that’s it. No more Mr. Pushover.  Now who wants a puppy?"
