Film Title,Character,Gender,Race/Ethnicity,Culture,Role,Marginalized,POC,Dialogue,Cleaned Dialogue,Sentiment Scores,Compound Score,Sentiment
The Princess and the Frog,Eudora,Female,Middle Eastern,New Orleans,Supporting,False,True,"Just in that moment, the ugly little frog looked up with his sad, round eyes and pleaded: ""Oh, please, dear princess, Only a kiss from you can break this terrible spell, that was inflicted on me by a wicked witch.""","Just in that moment, the ugly little frog looked up with his sad, round eyes and pleaded: ""Oh, please, dear princess, Only a kiss from you can break this terrible spell, that was inflicted on me by a wicked witch.""","{'neg': 0.258, 'neu': 0.595, 'pos': 0.148, 'compound': -0.7734}",-0.7734,Negative 😡
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,There comes my favorite part.,There comes my favorite part.,"{'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.4588}",0.4588,Positive 😊
The Princess and the Frog,Eudora,Female,Middle Eastern,New Orleans,Supporting,False,True,"And the beautiful princess was so moved by his desperate plea, that she stooped down, picked up the slippery creature, leaned forward, raised him to her lips, and kissed that little frog. Than the frog was transformed into a handsome prince. They were married and lived happily ever after. The end.","And the beautiful princess was so moved by his desperate plea, that she stooped down, picked up the slippery creature, leaned forward, raised him to her lips, and kissed that little frog. Than the frog was transformed into a handsome prince. They were married and lived happily ever after. The end.","{'neg': 0.038, 'neu': 0.743, 'pos': 0.219, 'compound': 0.9001}",0.9001,Positive 😊
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"Yay! Read it again, read it again!","Yay! Read it again, read it again!","{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.6103}",0.6103,Positive 😊
The Princess and the Frog,Eudora,Female,Middle Eastern,New Orleans,Supporting,False,True,"Sorry Charlotte, it’s time for us to be headin’ home. Say good night, Tiana.","Sorry Charlotte, it is time for us to be headin’ home. Say good night, Tiana.","{'neg': 0.076, 'neu': 0.756, 'pos': 0.169, 'compound': 0.3818}",0.3818,Positive 😊
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,"There is no way, in this whole wide world I would ever, ever, ever, I mean never kiss a frog. Yuck!","There is no way, in this whole wide world I would ever, ever, ever, I mean never kiss a frog. Yuck!","{'neg': 0.232, 'neu': 0.768, 'pos': 0.0, 'compound': -0.5892}",-0.5892,Negative 😡
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"Is that so?  Well, here's your prince charming, Tia. Come on, kiss him.","Is that so?  Well, here is your prince charming, Tia. Come on, kiss him.","{'neg': 0.0, 'neu': 0.442, 'pos': 0.558, 'compound': 0.9125}",0.9125,Positive 😊
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,No!,No!,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.3595}",-0.3595,Negative 😡
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,Kiss him!,Kiss him!,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.4753}",0.4753,Positive 😊
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,Stop it!,Stop it!,"{'neg': 0.714, 'neu': 0.286, 'pos': 0.0, 'compound': -0.3595}",-0.3595,Negative 😡
The Princess and the Frog,Charlotte,Female,Caucasian,New Orleans,Protagonist,False,False,"Kiss him, kiss him, kiss him!","Kiss him, kiss him, kiss him!","{'neg': 0.0, 'neu': 0.257, 'pos': 0.743, 'compound': 0.8268}",0.8268,Positive 😊
The Princess and the Frog,Tiana,Female,African American,New Orleans,Protagonist,True,True,"I won’t, I won’t, I won’t!","I will not, I will not, I will not!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
