Film Title,Character,Gender,Race/Ethnicity,Culture,Role,Marginalized,POC,Dialogue
Mulan,Shan-Yu,Male,Hun,Hun,Antagonist,False,False,"Perfect. [Cut to the palace.  The large doors to the central chamber open as General Li walks in flanked on his left and right by soldiers and approaches the Emperor. He bows, then looks up]"
Mulan,General Li,Male,Chinese,Chinese,Supporting,True,True,"Your Majesty, the Huns have crossed our Northern border."
Mulan,Chi-Fu,Male,Chinese,Chinese,Supporting,True,True,Impossible! No one can get through The Great Wall.  [The Emperor motions for Chi Fu's silence]
Mulan,General Li,Male,Chinese,Chinese,Supporting,True,True,Shun-Yu is leading them.  We'll set up defenses around your palace immediately.
Mulan,Emperor,Male,Chinese,Chinese,Supporting,True,True,"No!  Send your troops to protect my people.  Chi Fu,"
Mulan,Chi-Fu,Male,Chinese,Chinese,Supporting,True,True,"Yes, your highness."
Mulan,Emperor,Male,Chinese,Chinese,Supporting,True,True,Deliver conscription notices throughout all the provinces.  Call up reserves and as many new recruits as possible.
Mulan,General Li,Male,Chinese,Chinese,Supporting,True,True,"Forgive me your Majesty, but I believe my troops can stop him."
Mulan,Emperor,Male,Chinese,Chinese,Supporting,True,True,"I wont take any chances, General.  A single grain of rice can tip the scale.  One man may be the difference between victory and defeat. [Cut to Mulan using her chopsticks to single out a grain of rice on top of the mound of rice]"
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,"Quiet and demure...graceful...polite...[picking up some rice with her chopsticks and eating a mouthful] delicate...refined...poised... [She sets down her chopsticks and writes down a final word on her right arm] punctual. Aiya.    Little brother. Little brother.  Lit- ahhh, there you are.  Who's the smartest doggie in the world?  Come on smart boy, can you help me with my chores today? [Mulan ties a sack of grain around Little Brother's waist.  She ties a stick onto Little brother so that end of it is in front of Little Brother's face. She ties the bone on the end of the stick just out of reach.  Little Brother begins to run after the bone which he cannot reach.  Mulan opens the door for Little Brother and he runs into the door frame, then out the open door. Little brother runs by the chickens and Khan - the family horse] [Cut to Mulan's Father, Fa Zhou, kneeling and praying before the Fa family's ancestors]"
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,"Honorable ancestors, please help Mulan impress the matchmaker today. Little Brother [running into the temple and around Fa Zhou scattering grain around the floor]: Bark, bark, bark, bark, bark. [The chickens follow Little Brother into the temple and begin to feed on the grain]"
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,"Please, PLEASE, help her. [Mulan steps up to the temple seeing Little Brother on his hind legs trying to get the bone.  Mulan bends the stick down so that Little brother can reach the bone.  Little brother gnaws on the bone happily.  Mulan continues toward the temple]"
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,Father I brought your--whoop!  [Fa Zhou bumps into Mulan. The cup falls to the ground and Fa Zhou catches the teapot with the handle of his cane]
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,Mulan--
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,I brought a spare. [Mulan pulls out a cup from underneath the back of her dress and begins to pour the tea]
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,Mulan--
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,"Remember, the doctor said three cups of tea in the morning--"
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,Mulan--
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,And three at night.
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,"Mulan, you should already be in town.  We're counting on you to up--"
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,--uphold the family honor.  Don't worry father.  I wont let you down. Wish me luck.
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,Hurry!   I'm going to...pray some more.
Mulan,Fa Li,Female,Chinese,Chinese,Supporting,True,True,Of all days to be late.  I should have prayed to the ancestors for luck.
Mulan,Grandmother Fa,Female,Chinese,Chinese,Supporting,True,True,"How lucky can they be, they're dead.  Besides,  I've got all the luck we'll need.  [Speaking to Cri-Kee]  This is your chance to prove yourself.  [Cri-Kee chirps approvingly. Grandma Fa covers her eyes steps into a busy street]"
Mulan,Fa Li,Female,Chinese,Chinese,Supporting,True,True,"Grandma No! [The traffic barely misses Grandma Fa as she crosses the busy street.  But two horse and carriage collide causing a big accident.  She arrives at the other side of the street, uncovers here eyes and looks at Cri-Kee]"
Mulan,Grandmother Fa,Female,Chinese,Chinese,Supporting,True,True,"Yep, this cricket's a lucky one. [Cri-Kee falls over out of fright]"
Mulan,Fa Li,Female,Chinese,Chinese,Supporting,True,True,Hai. [Mulan arrives on Khan jumping over the recent accident in the street and jumps off with hay stuck in her hair]
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,I'm here.   What?  But Mama I had to--
Mulan,Fa Li,Female,Chinese,Chinese,Supporting,True,True,None of your 'xcuses.  Now let's get you cleaned up. [They walk together into the preparation area]
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,It's freezing.
Mulan,Fa Li,Female,Chinese,Chinese,Supporting,True,True,It would have been warm if you were here on time.
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,"Ahh, notes, in case I forget something?"
Mulan,Grandmother Fa,Female,Chinese,Chinese,Supporting,True,True,"Here, hold this .  We'll need more luck than I thought."
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,huh.
Mulan,Fa Li,Female,Chinese,Chinese,Supporting,True,True,"There, you're ready."
Mulan,Grandmother Fa,Female,Chinese,Chinese,Supporting,True,True,Not yet! An apple for serenity [putting an apple in Mulan's mouth]...A pendant for balance [places a yin-yang pendant under her sash] Beads of jade for beauty You must proudly show it Now add a cricket just for luck [putting the cage with Cri-Kee under Mulan's sash in the back.  Cri-Kee doesn't look pleased] And even you can't blow it
Mulan,Matchmaker,Female,Chinese,Chinese,Supporting,True,True,Fa Mulan
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,Present.
Mulan,Matchmaker,Female,Chinese,Chinese,Supporting,True,True,Speaking without permission.
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,Oops.
Mulan,Grandmother Fa,Female,Chinese,Chinese,Supporting,True,True,Who spit in her bean curd? [Mulan walks into the Matchmaker's building with the Matchmaker following behind and closing the door]
Mulan,Matchmaker,Female,Chinese,Chinese,Supporting,True,True,"Huh, Hmm, too skinny.  [Cri-Kee escapes from his cage.  Mulan struggles to catch him] Hmph, not good for bearing sons. Recite the final admonition."
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,Mmm-Hmm.  [Takes out fan and covers her mouth as she spits out Cri-Kee] Ptu
Mulan,Matchmaker,Female,Chinese,Chinese,Supporting,True,True,Well...
