Film Title,Character,Gender,Race/Ethnicity,Culture,Role,Marginalized,POC,Dialogue,Cleaned Dialogue,Sentiment Scores,Compound Score,Sentiment
Mulan,Shan-Yu,Male,Hun,Hun,Antagonist,False,False,"Perfect. [Cut to the palace.  The large doors to the central chamber open as General Li walks in flanked on his left and right by soldiers and approaches the Emperor. He bows, then looks up]",Perfect.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",0.5719,Positive 😊
Mulan,General Li,Male,Chinese,Chinese,Supporting,True,True,"Your Majesty, the Huns have crossed our Northern border.","Your Majesty, the Huns have crossed our Northern border.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Mulan,Chi-Fu,Male,Chinese,Chinese,Supporting,True,True,Impossible! No one can get through The Great Wall.  [The Emperor motions for Chi Fu's silence],Impossible! No one can get through The Great Wall.,"{'neg': 0.162, 'neu': 0.515, 'pos': 0.323, 'compound': 0.4926}",0.4926,Positive 😊
Mulan,General Li,Male,Chinese,Chinese,Supporting,True,True,Shun-Yu is leading them.  We'll set up defenses around your palace immediately.,Shun-Yu is leading them.  We will set up defenses around your palace immediately.,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.1779}",0.1779,Positive 😊
Mulan,Emperor,Male,Chinese,Chinese,Supporting,True,True,"No!  Send your troops to protect my people.  Chi Fu,","No!  Send your troops to protect my people.  Chi Fu,","{'neg': 0.428, 'neu': 0.417, 'pos': 0.155, 'compound': -0.68}",-0.68,Negative 😡
Mulan,Chi-Fu,Male,Chinese,Chinese,Supporting,True,True,"Yes, your highness.","Yes, your highness.","{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.4019}",0.4019,Positive 😊
Mulan,Emperor,Male,Chinese,Chinese,Supporting,True,True,Deliver conscription notices throughout all the provinces.  Call up reserves and as many new recruits as possible.,Deliver conscription notices throughout all the provinces.  Call up reserves and as many new recruits as possible.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Mulan,General Li,Male,Chinese,Chinese,Supporting,True,True,"Forgive me your Majesty, but I believe my troops can stop him.","Forgive me your Majesty, but I believe my troops can stop him.","{'neg': 0.21, 'neu': 0.674, 'pos': 0.116, 'compound': -0.3071}",-0.3071,Negative 😡
Mulan,Emperor,Male,Chinese,Chinese,Supporting,True,True,"I wont take any chances, General.  A single grain of rice can tip the scale.  One man may be the difference between victory and defeat. [Cut to Mulan using her chopsticks to single out a grain of rice on top of the mound of rice]","I will not take any chances, General.  A single grain of rice can tip the scale.  One man may be the difference between victory and defeat.","{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.5562}",-0.5562,Negative 😡
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,"Quiet and demure...graceful...polite...[picking up some rice with her chopsticks and eating a mouthful] delicate...refined...poised... [She sets down her chopsticks and writes down a final word on her right arm] punctual. Aiya.    Little brother. Little brother.  Lit- ahhh, there you are.  Who's the smartest doggie in the world?  Come on smart boy, can you help me with my chores today? [Mulan ties a sack of grain around Little Brother's waist.  She ties a stick onto Little brother so that end of it is in front of Little Brother's face. She ties the bone on the end of the stick just out of reach.  Little Brother begins to run after the bone which he cannot reach.  Mulan opens the door for Little Brother and he runs into the door frame, then out the open door. Little brother runs by the chickens and Khan - the family horse] [Cut to Mulan's Father, Fa Zhou, kneeling and praying before the Fa family's ancestors]","Quiet and demure...graceful...polite... delicate...refined...poised...  punctual. Aiya.    Little brother. Little brother.  Lit- ahhh, there you are.  Who is the smartest doggie in the world?  Come on smart boy, can you help me with my chores today?","{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.8677}",0.8677,Positive 😊
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,"Honorable ancestors, please help Mulan impress the matchmaker today. Little Brother [running into the temple and around Fa Zhou scattering grain around the floor]: Bark, bark, bark, bark, bark. [The chickens follow Little Brother into the temple and begin to feed on the grain]","Honorable ancestors, please help Mulan impress the matchmaker today. Little Brother : Bark, bark, bark, bark, bark.","{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.886}",0.886,Positive 😊
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,"Please, PLEASE, help her. [Mulan steps up to the temple seeing Little Brother on his hind legs trying to get the bone.  Mulan bends the stick down so that Little brother can reach the bone.  Little brother gnaws on the bone happily.  Mulan continues toward the temple]","Please, PLEASE, help her.","{'neg': 0.0, 'neu': 0.111, 'pos': 0.889, 'compound': 0.7925}",0.7925,Positive 😊
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,Father I brought your--whoop!  [Fa Zhou bumps into Mulan. The cup falls to the ground and Fa Zhou catches the teapot with the handle of his cane],Father I brought your--whoop!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,Mulan--,Mulan--,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Mulan,Mulan,Female,Chinese,Chinese,Protagonist,True,True,I brought a spare. [Mulan pulls out a cup from underneath the back of her dress and begins to pour the tea],I brought a spare.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Mulan,Fa Zhou,Male,Chinese,Chinese,Supporting,True,True,Mulan--,Mulan--,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
